CI,Nombres,"Apellido Paterno","Apellido Materno",Email,Sexo,Colegio,Ciudad,Carrera,"Monto Pago","Metodo Pago","Nro Recibo",Materia,Grupo,"CI Docente","Nombre Docente","Apellido Docente","Profesion Docente","Hora Semanal Docente","Nota P1","Nota P2","Nota P3","Promedio Final","Estado Materia"
10000005,Miguel,Garcia,Garcia,miguel.garcia.10000005@test.com,M,Evangelico,Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000005,MAT100,T001,10500012,Andres,Gomez,"Licenciado en Matematicas",34,10,22,23,55,Reprobado
10000005,Miguel,Garcia,Garcia,miguel.garcia.10000005@test.com,M,Evangelico,Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000005,FIS100,T001,10500013,Sofia,Rojas,Fisico,40,3,7,9,19,Reprobado
10000005,Miguel,Garcia,Garcia,miguel.garcia.10000005@test.com,M,Evangelico,Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000005,INF100,T001,10500014,Marta,Fernandez,"Ingeniero Informatico",20,17,2,11,30,Reprobado
10000005,Miguel,Garcia,Garcia,miguel.garcia.10000005@test.com,M,Evangelico,Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000005,LIN100,T001,10500015,Jorge,Sanchez,"Licenciado en Filologia",28,9,29,18,56,Reprobado
10000006,Ricardo,Perez,Martinez,ricardo.perez.10000006@test.com,M,"Nacional Florida",Cochabamba,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000006,MAT100,M001,10500000,Maria,Rodriguez,"Licenciado en Matematicas",37,32,1,11,44,Reprobado
10000006,Ricardo,Perez,Martinez,ricardo.perez.10000006@test.com,M,"Nacional Florida",Cochabamba,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000006,FIS100,M001,10500001,Fernando,Garcia,Fisico,11,4,31,19,54,Reprobado
10000006,Ricardo,Perez,Martinez,ricardo.perez.10000006@test.com,M,"Nacional Florida",Cochabamba,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000006,INF100,M001,10500002,Pedro,Lopez,"Ingeniero Informatico",15,3,22,8,33,Reprobado
10000006,Ricardo,Perez,Martinez,ricardo.perez.10000006@test.com,M,"Nacional Florida",Cochabamba,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000006,LIN100,M001,10500003,Pedro,Sanchez,"Licenciado en Filologia",30,5,9,16,30,Reprobado
10000007,Luis,Garcia,Gomez,luis.garcia.10000007@test.com,M,Uboldi,Potosi,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000007,MAT100,M003,10500008,Gabriela,Garcia,"Licenciado en Matematicas",30,5,9,3,17,Reprobado
10000007,Luis,Garcia,Gomez,luis.garcia.10000007@test.com,M,Uboldi,Potosi,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000007,FIS100,M003,10500009,Miguel,Perez,Fisico,35,21,32,12,65,Aprobado
10000007,Luis,Garcia,Gomez,luis.garcia.10000007@test.com,M,Uboldi,Potosi,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000007,INF100,M003,10500010,Valeria,Vargas,"Ingeniero Informatico",40,5,23,0,28,Reprobado
10000007,Luis,Garcia,Gomez,luis.garcia.10000007@test.com,M,Uboldi,Potosi,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000007,LIN100,M003,10500011,Paula,Sanchez,"Licenciado en Filologia",30,3,23,19,45,Reprobado
10000008,Ana,Sanchez,Gomez,ana.sanchez.10000008@test.com,F,"Don Bosco","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000008,MAT100,M001,10500000,Maria,Rodriguez,"Licenciado en Matematicas",37,33,14,8,55,Reprobado
10000008,Ana,Sanchez,Gomez,ana.sanchez.10000008@test.com,F,"Don Bosco","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000008,FIS100,M001,10500001,Fernando,Garcia,Fisico,11,7,18,22,47,Reprobado
10000008,Ana,Sanchez,Gomez,ana.sanchez.10000008@test.com,F,"Don Bosco","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000008,INF100,M001,10500002,Pedro,Lopez,"Ingeniero Informatico",15,3,10,27,40,Reprobado
10000008,Ana,Sanchez,Gomez,ana.sanchez.10000008@test.com,F,"Don Bosco","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000008,LIN100,M001,10500003,Pedro,Sanchez,"Licenciado en Filologia",30,13,12,34,59,Reprobado
10000009,Luis,Vargas,Gomez,luis.vargas.10000009@test.com,M,Marista,Potosi,"Ingenieria Informatica",700,PayPal,REC-TEST-10000009,MAT100,N001,10500016,Maria,Fernandez,"Licenciado en Matematicas",16,26,10,23,59,Reprobado
10000009,Luis,Vargas,Gomez,luis.vargas.10000009@test.com,M,Marista,Potosi,"Ingenieria Informatica",700,PayPal,REC-TEST-10000009,FIS100,N001,10500017,Carlos,Gomez,Fisico,27,13,11,3,27,Reprobado
10000009,Luis,Vargas,Gomez,luis.vargas.10000009@test.com,M,Marista,Potosi,"Ingenieria Informatica",700,PayPal,REC-TEST-10000009,INF100,N001,10500018,Paula,Rojas,"Ingeniero Informatico",20,7,29,1,37,Reprobado
10000009,Luis,Vargas,Gomez,luis.vargas.10000009@test.com,M,Marista,Potosi,"Ingenieria Informatica",700,PayPal,REC-TEST-10000009,LIN100,N001,10500019,Elena,Martinez,"Licenciado en Filologia",27,17,14,32,63,Aprobado
10000010,Andres,Ramirez,Gomez,andres.ramirez.10000010@test.com,M,"La Salle",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000010,MAT100,T001,10500012,Andres,Gomez,"Licenciado en Matematicas",34,32,21,0,53,Reprobado
10000010,Andres,Ramirez,Gomez,andres.ramirez.10000010@test.com,M,"La Salle",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000010,FIS100,T001,10500013,Sofia,Rojas,Fisico,40,28,16,23,67,Aprobado
10000010,Andres,Ramirez,Gomez,andres.ramirez.10000010@test.com,M,"La Salle",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000010,INF100,T001,10500014,Marta,Fernandez,"Ingeniero Informatico",20,9,24,23,56,Reprobado
10000010,Andres,Ramirez,Gomez,andres.ramirez.10000010@test.com,M,"La Salle",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000010,LIN100,T001,10500015,Jorge,Sanchez,"Licenciado en Filologia",28,23,2,27,52,Reprobado
10000011,Sofia,Lopez,Rojas,sofia.lopez.10000011@test.com,F,"Nacional Florida",Sucre,"Ingenieria en Redes",700,PayPal,REC-TEST-10000011,MAT100,M002,10500004,Ricardo,Lopez,"Licenciado en Matematicas",21,27,30,7,64,Aprobado
10000011,Sofia,Lopez,Rojas,sofia.lopez.10000011@test.com,F,"Nacional Florida",Sucre,"Ingenieria en Redes",700,PayPal,REC-TEST-10000011,FIS100,M002,10500005,Jorge,Perez,Fisico,25,23,12,34,69,Aprobado
10000011,Sofia,Lopez,Rojas,sofia.lopez.10000011@test.com,F,"Nacional Florida",Sucre,"Ingenieria en Redes",700,PayPal,REC-TEST-10000011,INF100,M002,10500006,Carlos,Sanchez,"Ingeniero Informatico",24,20,18,31,69,Aprobado
10000011,Sofia,Lopez,Rojas,sofia.lopez.10000011@test.com,F,"Nacional Florida",Sucre,"Ingenieria en Redes",700,PayPal,REC-TEST-10000011,LIN100,M002,10500007,Jorge,Gomez,"Licenciado en Filologia",33,7,25,7,39,Reprobado
10000012,Pedro,Lopez,Rojas,pedro.lopez.10000012@test.com,M,"La Salle","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000012,MAT100,M003,10500008,Gabriela,Garcia,"Licenciado en Matematicas",30,15,30,8,53,Reprobado
10000012,Pedro,Lopez,Rojas,pedro.lopez.10000012@test.com,M,"La Salle","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000012,FIS100,M003,10500009,Miguel,Perez,Fisico,35,21,23,2,46,Reprobado
10000012,Pedro,Lopez,Rojas,pedro.lopez.10000012@test.com,M,"La Salle","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000012,INF100,M003,10500010,Valeria,Vargas,"Ingeniero Informatico",40,1,18,1,20,Reprobado
10000012,Pedro,Lopez,Rojas,pedro.lopez.10000012@test.com,M,"La Salle","La Paz","Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000012,LIN100,M003,10500011,Paula,Sanchez,"Licenciado en Filologia",30,4,12,34,50,Reprobado
10000013,Valeria,Garcia,Martinez,valeria.garcia.10000013@test.com,F,"Domingo Savio",Tarija,"Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000013,MAT100,M002,10500004,Ricardo,Lopez,"Licenciado en Matematicas",21,14,17,14,45,Reprobado
10000013,Valeria,Garcia,Martinez,valeria.garcia.10000013@test.com,F,"Domingo Savio",Tarija,"Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000013,FIS100,M002,10500005,Jorge,Perez,Fisico,25,1,20,0,21,Reprobado
10000013,Valeria,Garcia,Martinez,valeria.garcia.10000013@test.com,F,"Domingo Savio",Tarija,"Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000013,INF100,M002,10500006,Carlos,Sanchez,"Ingeniero Informatico",24,16,4,25,45,Reprobado
10000013,Valeria,Garcia,Martinez,valeria.garcia.10000013@test.com,F,"Domingo Savio",Tarija,"Ingenieria Informatica",700,"Stripe (Tarjetas)",REC-TEST-10000013,LIN100,M002,10500007,Jorge,Gomez,"Licenciado en Filologia",33,3,32,25,60,Aprobado
10000014,Marta,Torres,Garcia,marta.torres.10000014@test.com,F,"Nacional Florida",Cochabamba,"Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000014,MAT100,M002,10500004,Ricardo,Lopez,"Licenciado en Matematicas",21,8,3,3,14,Reprobado
10000014,Marta,Torres,Garcia,marta.torres.10000014@test.com,F,"Nacional Florida",Cochabamba,"Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000014,FIS100,M002,10500005,Jorge,Perez,Fisico,25,10,2,7,19,Reprobado
10000014,Marta,Torres,Garcia,marta.torres.10000014@test.com,F,"Nacional Florida",Cochabamba,"Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000014,INF100,M002,10500006,Carlos,Sanchez,"Ingeniero Informatico",24,10,20,23,53,Reprobado
10000014,Marta,Torres,Garcia,marta.torres.10000014@test.com,F,"Nacional Florida",Cochabamba,"Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000014,LIN100,M002,10500007,Jorge,Gomez,"Licenciado en Filologia",33,25,29,19,73,Aprobado
10000015,Pedro,Rodriguez,Martinez,pedro.rodriguez.10000015@test.com,M,Uboldi,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000015,MAT100,T001,10500012,Andres,Gomez,"Licenciado en Matematicas",34,6,28,22,56,Reprobado
10000015,Pedro,Rodriguez,Martinez,pedro.rodriguez.10000015@test.com,M,Uboldi,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000015,FIS100,T001,10500013,Sofia,Rojas,Fisico,40,11,1,16,28,Reprobado
10000015,Pedro,Rodriguez,Martinez,pedro.rodriguez.10000015@test.com,M,Uboldi,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000015,INF100,T001,10500014,Marta,Fernandez,"Ingeniero Informatico",20,8,25,26,59,Reprobado
10000015,Pedro,Rodriguez,Martinez,pedro.rodriguez.10000015@test.com,M,Uboldi,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000015,LIN100,T001,10500015,Jorge,Sanchez,"Licenciado en Filologia",28,21,4,25,50,Reprobado
10000016,Daniela,Ramirez,Rojas,daniela.ramirez.10000016@test.com,F,"Don Bosco",Pando,"Ingenieria Informatica",700,PayPal,REC-TEST-10000016,MAT100,N001,10500016,Maria,Fernandez,"Licenciado en Matematicas",16,21,33,33,87,Aprobado
10000016,Daniela,Ramirez,Rojas,daniela.ramirez.10000016@test.com,F,"Don Bosco",Pando,"Ingenieria Informatica",700,PayPal,REC-TEST-10000016,FIS100,N001,10500017,Carlos,Gomez,Fisico,27,13,30,14,57,Reprobado
10000016,Daniela,Ramirez,Rojas,daniela.ramirez.10000016@test.com,F,"Don Bosco",Pando,"Ingenieria Informatica",700,PayPal,REC-TEST-10000016,INF100,N001,10500018,Paula,Rojas,"Ingeniero Informatico",20,21,25,9,55,Reprobado
10000016,Daniela,Ramirez,Rojas,daniela.ramirez.10000016@test.com,F,"Don Bosco",Pando,"Ingenieria Informatica",700,PayPal,REC-TEST-10000016,LIN100,N001,10500019,Elena,Martinez,"Licenciado en Filologia",27,3,4,10,17,Reprobado
10000017,Gabriela,Fernandez,Ramirez,gabriela.fernandez.10000017@test.com,F,Espana,"Santa Cruz","Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000017,MAT100,M003,10500008,Gabriela,Garcia,"Licenciado en Matematicas",30,25,22,17,64,Aprobado
10000017,Gabriela,Fernandez,Ramirez,gabriela.fernandez.10000017@test.com,F,Espana,"Santa Cruz","Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000017,FIS100,M003,10500009,Miguel,Perez,Fisico,35,22,9,17,48,Reprobado
10000017,Gabriela,Fernandez,Ramirez,gabriela.fernandez.10000017@test.com,F,Espana,"Santa Cruz","Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000017,INF100,M003,10500010,Valeria,Vargas,"Ingeniero Informatico",40,7,23,12,42,Reprobado
10000017,Gabriela,Fernandez,Ramirez,gabriela.fernandez.10000017@test.com,F,Espana,"Santa Cruz","Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000017,LIN100,M003,10500011,Paula,Sanchez,"Licenciado en Filologia",30,27,11,31,69,Aprobado
10000018,Gabriela,Perez,Torres,gabriela.perez.10000018@test.com,F,Evangelico,Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000018,MAT100,M002,10500004,Ricardo,Lopez,"Licenciado en Matematicas",21,31,28,8,67,Aprobado
10000018,Gabriela,Perez,Torres,gabriela.perez.10000018@test.com,F,Evangelico,Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000018,FIS100,M002,10500005,Jorge,Perez,Fisico,25,13,18,23,54,Reprobado
10000018,Gabriela,Perez,Torres,gabriela.perez.10000018@test.com,F,Evangelico,Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000018,INF100,M002,10500006,Carlos,Sanchez,"Ingeniero Informatico",24,25,0,5,30,Reprobado
10000018,Gabriela,Perez,Torres,gabriela.perez.10000018@test.com,F,Evangelico,Pando,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000018,LIN100,M002,10500007,Jorge,Gomez,"Licenciado en Filologia",33,14,24,1,39,Reprobado
10000019,Marta,Ramirez,Fernandez,marta.ramirez.10000019@test.com,F,"Domingo Savio",Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000019,MAT100,T001,10500012,Andres,Gomez,"Licenciado en Matematicas",34,10,23,20,53,Reprobado
10000019,Marta,Ramirez,Fernandez,marta.ramirez.10000019@test.com,F,"Domingo Savio",Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000019,FIS100,T001,10500013,Sofia,Rojas,Fisico,40,2,12,14,28,Reprobado
10000019,Marta,Ramirez,Fernandez,marta.ramirez.10000019@test.com,F,"Domingo Savio",Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000019,INF100,T001,10500014,Marta,Fernandez,"Ingeniero Informatico",20,29,13,34,76,Aprobado
10000019,Marta,Ramirez,Fernandez,marta.ramirez.10000019@test.com,F,"Domingo Savio",Cochabamba,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000019,LIN100,T001,10500015,Jorge,Sanchez,"Licenciado en Filologia",28,18,8,20,46,Reprobado
10000020,Jorge,Vargas,Perez,jorge.vargas.10000020@test.com,M,"Domingo Savio",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000020,MAT100,M002,10500004,Ricardo,Lopez,"Licenciado en Matematicas",21,2,11,25,38,Reprobado
10000020,Jorge,Vargas,Perez,jorge.vargas.10000020@test.com,M,"Domingo Savio",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000020,FIS100,M002,10500005,Jorge,Perez,Fisico,25,14,3,31,48,Reprobado
10000020,Jorge,Vargas,Perez,jorge.vargas.10000020@test.com,M,"Domingo Savio",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000020,INF100,M002,10500006,Carlos,Sanchez,"Ingeniero Informatico",24,32,33,29,94,Aprobado
10000020,Jorge,Vargas,Perez,jorge.vargas.10000020@test.com,M,"Domingo Savio",Cochabamba,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000020,LIN100,M002,10500007,Jorge,Gomez,"Licenciado en Filologia",33,9,0,5,14,Reprobado
10000021,Ana,Garcia,Sanchez,ana.garcia.10000021@test.com,F,Uboldi,"Santa Cruz","Ingenieria de Sistemas",700,PayPal,REC-TEST-10000021,MAT100,M003,10500008,Gabriela,Garcia,"Licenciado en Matematicas",30,10,14,12,36,Reprobado
10000021,Ana,Garcia,Sanchez,ana.garcia.10000021@test.com,F,Uboldi,"Santa Cruz","Ingenieria de Sistemas",700,PayPal,REC-TEST-10000021,FIS100,M003,10500009,Miguel,Perez,Fisico,35,13,16,15,44,Reprobado
10000021,Ana,Garcia,Sanchez,ana.garcia.10000021@test.com,F,Uboldi,"Santa Cruz","Ingenieria de Sistemas",700,PayPal,REC-TEST-10000021,INF100,M003,10500010,Valeria,Vargas,"Ingeniero Informatico",40,14,28,30,72,Aprobado
10000021,Ana,Garcia,Sanchez,ana.garcia.10000021@test.com,F,Uboldi,"Santa Cruz","Ingenieria de Sistemas",700,PayPal,REC-TEST-10000021,LIN100,M003,10500011,Paula,Sanchez,"Licenciado en Filologia",30,30,21,19,70,Aprobado
10000022,Gabriela,Torres,Rojas,gabriela.torres.10000022@test.com,F,Uboldi,Sucre,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000022,MAT100,M002,10500004,Ricardo,Lopez,"Licenciado en Matematicas",21,21,32,20,73,Aprobado
10000022,Gabriela,Torres,Rojas,gabriela.torres.10000022@test.com,F,Uboldi,Sucre,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000022,FIS100,M002,10500005,Jorge,Perez,Fisico,25,21,0,29,50,Reprobado
10000022,Gabriela,Torres,Rojas,gabriela.torres.10000022@test.com,F,Uboldi,Sucre,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000022,INF100,M002,10500006,Carlos,Sanchez,"Ingeniero Informatico",24,23,12,23,58,Reprobado
10000022,Gabriela,Torres,Rojas,gabriela.torres.10000022@test.com,F,Uboldi,Sucre,"Ingenieria de Sistemas",700,"Stripe (Tarjetas)",REC-TEST-10000022,LIN100,M002,10500007,Jorge,Gomez,"Licenciado en Filologia",33,26,11,5,42,Reprobado
10000023,Pedro,Garcia,Gomez,pedro.garcia.10000023@test.com,M,Uboldi,Oruro,"Ingenieria en Redes",700,PayPal,REC-TEST-10000023,MAT100,T001,10500012,Andres,Gomez,"Licenciado en Matematicas",34,3,31,6,40,Reprobado
10000023,Pedro,Garcia,Gomez,pedro.garcia.10000023@test.com,M,Uboldi,Oruro,"Ingenieria en Redes",700,PayPal,REC-TEST-10000023,FIS100,T001,10500013,Sofia,Rojas,Fisico,40,3,17,13,33,Reprobado
10000023,Pedro,Garcia,Gomez,pedro.garcia.10000023@test.com,M,Uboldi,Oruro,"Ingenieria en Redes",700,PayPal,REC-TEST-10000023,INF100,T001,10500014,Marta,Fernandez,"Ingeniero Informatico",20,5,25,12,42,Reprobado
10000023,Pedro,Garcia,Gomez,pedro.garcia.10000023@test.com,M,Uboldi,Oruro,"Ingenieria en Redes",700,PayPal,REC-TEST-10000023,LIN100,T001,10500015,Jorge,Sanchez,"Licenciado en Filologia",28,25,32,23,80,Aprobado
10000024,Paula,Rodriguez,Gomez,paula.rodriguez.10000024@test.com,F,Evangelico,"Santa Cruz","Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000024,MAT100,N001,10500016,Maria,Fernandez,"Licenciado en Matematicas",16,4,20,17,41,Reprobado
10000024,Paula,Rodriguez,Gomez,paula.rodriguez.10000024@test.com,F,Evangelico,"Santa Cruz","Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000024,FIS100,N001,10500017,Carlos,Gomez,Fisico,27,4,29,13,46,Reprobado
10000024,Paula,Rodriguez,Gomez,paula.rodriguez.10000024@test.com,F,Evangelico,"Santa Cruz","Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000024,INF100,N001,10500018,Paula,Rojas,"Ingeniero Informatico",20,10,31,29,70,Aprobado
10000024,Paula,Rodriguez,Gomez,paula.rodriguez.10000024@test.com,F,Evangelico,"Santa Cruz","Ingenieria en Redes",700,"Stripe (Tarjetas)",REC-TEST-10000024,LIN100,N001,10500019,Elena,Martinez,"Licenciado en Filologia",27,20,26,5,51,Reprobado
10000025,Pedro,Rodriguez,Vargas,pedro.rodriguez.10000025@test.com,M,"Nacional Florida",Tarija,"Ingenieria en Redes",700,PayPal,REC-TEST-10000025,MAT100,N001,10500016,Maria,Fernandez,"Licenciado en Matematicas",16,24,6,4,34,Reprobado
